"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
91,1,30,3,5,80,4,63,0
92,0,60,3,3,95,4,63,0
94,1,76,3,2,85,3,63,0
95,0,65,3,2,95,4,63,0
96,1,43,1,6,96,3,53,1
99,1,48,1,5,100,5,53,1
101,0,79,3,2,99,5,63,0
103,0,54,1,3,100,4,53,1
104,1,72,1,2,100,5,53,1
105,0,39,3,5,40,3,63,0
106,1,25,3,3,95,3,63,0
107,0,51,2,5,13,1,25,0
108,1,73,1,6,90,3,53,1
109,0,61,1,4,65,4,53,1
112,0,63,1,3,90,3,53,1
114,1,84,2,3,6,2,25,0
115,1,43,1,5,87,4,53,1
117,0,44,2,2,66,3,25,0
118,0,55,3,5,70,1,63,0
119,0,52,2,2,60,2,25,0
120,0,64,3,2,88,3,63,0
123,0,71,2,5,1,3,25,0
126,1,55,3,4,94,4,63,0
127,1,77,1,2,39,3,53,1
128,0,79,2,2,1,1,25,0
129,0,62,3,2,44,2,63,0
130,1,50,1,6,96,5,53,1
131,1,41,3,6,86,5,63,0
132,0,59,1,5,71,3,53,1
133,0,58,3,2,0,3,63,0
135,0,54,1,2,95,4,53,1
136,1,75,1,2,11,3,53,1
139,0,78,3,2,50,2,63,0
140,0,56,3,2,1,2,63,0
141,0,38,3,2,16,3,63,0
143,0,57,1,5,100,5,53,1
144,0,55,1,5,89,5,53,1
145,1,60,1,6,75,3,53,1
147,0,57,1,6,89,3,53,1
149,0,34,2,1,3,2,25,0
150,0,51,3,2,95,4,63,0
151,1,41,3,5,9,2,63,0
152,1,52,3,2,0,3,63,0
155,1,61,2,2,1,2,25,0
156,0,44,1,2,75,2,53,1
157,0,61,1,3,100,3,53,1
158,0,52,3,2,0,1,63,0
160,0,63,3,1,90,5,63,0
162,1,66,3,2,0,3,63,0
163,1,52,1,2,95,5,53,1
164,0,70,1,2,90,3,53,1
166,0,78,2,1,2,2,25,0
170,1,35,3,5,78,4,63,0
173,1,76,1,4,91,4,53,1
175,1,55,3,5,97,5,63,0
178,0,57,3,5,2,2,63,0
179,1,57,3,2,25,2,63,0
180,1,48,1,4,88,4,53,1
182,1,84,2,2,23,2,25,0
183,1,59,2,5,0,2,25,0
184,1,61,3,1,72,4,63,0
185,0,37,3,6,39,3,63,0
186,1,41,3,5,100,4,63,0
187,1,60,3,3,88,5,63,0
191,1,64,3,5,79,3,63,0
192,0,42,3,3,75,3,63,0
194,0,34,1,4,11,3,53,1
199,1,32,3,5,71,5,63,0
202,0,38,1,3,100,3,53,1
203,1,55,3,6,87,4,63,0
204,0,62,1,5,88,2,53,1
207,1,75,1,3,59,2,53,1
209,1,55,3,3,75,3,63,0
211,0,49,2,3,13,2,25,0
212,1,54,3,3,0,2,63,0
213,0,40,3,2,78,4,63,0
214,1,61,1,5,46,3,53,1
215,0,57,2,3,0,3,25,0
216,1,60,3,3,72,5,63,0
217,1,65,2,3,34,3,25,0
219,0,69,2,6,5,2,25,0
222,1,38,3,6,95,4,63,0
223,1,84,3,6,17,2,63,0
224,1,43,1,1,100,1,53,1
225,1,61,1,3,60,5,53,1
227,0,74,3,5,26,2,63,0
229,1,58,3,2,96,4,63,0
230,0,70,2,2,1,2,25,0
231,1,44,3,3,95,3,63,0
232,0,44,2,5,7,2,25,0
233,1,28,3,1,65,3,63,0
235,0,51,2,5,0,2,25,0
236,0,28,3,2,95,5,63,0
237,0,68,1,5,84,4,53,1
238,0,40,3,6,1,2,63,0
240,1,62,3,6,6,3,63,0
241,1,61,1,4,98,3,53,1
242,1,39,3,3,70,1,63,0
243,1,53,2,6,82,4,25,0
244,0,33,2,5,31,3,25,0
246,1,52,3,2,99,5,63,0
247,1,57,1,5,100,4,53,1
248,0,39,1,2,60,2,53,1
249,0,41,1,2,70,3,53,1
250,0,63,1,5,62,3,53,1
252,1,60,1,4,98,3,53,1
253,0,60,3,5,1,2,63,0
255,1,62,1,5,96,4,53,1
256,1,77,1,2,95,3,53,1
258,1,59,3,2,30,3,63,0
259,1,28,3,6,73,5,63,0
260,0,62,1,3,86,4,53,1
262,0,75,1,2,99,4,53,1
264,0,80,2,2,10,1,25,0
265,0,59,3,2,1,2,63,0
266,0,49,1,6,73,3,53,1
267,0,60,1,5,98,4,53,1
268,1,83,3,3,91,3,63,0
269,0,20,3,3,61,4,63,0
270,0,61,3,4,81,5,63,0
271,1,64,3,3,98,4,63,0
275,1,69,1,2,100,4,53,1
277,1,70,3,1,89,4,63,0
278,1,39,3,4,93,4,63,0
283,0,67,1,6,97,5,53,1
284,0,62,1,3,90,3,53,1
285,0,65,3,1,6,2,63,0
287,0,55,1,3,44,2,53,1
288,1,73,2,6,56,3,25,0
289,1,55,3,2,26,2,63,0
291,0,30,1,3,51,2,53,1
293,1,69,3,5,88,3,63,0
297,1,65,1,2,88,4,53,1
299,1,66,3,3,81,5,63,0
301,1,73,3,2,70,3,63,0
302,1,47,1,3,53,3,53,1
306,1,71,1,5,99,5,53,1
308,1,53,3,4,84,4,63,0
310,1,33,3,3,34,3,63,0
311,0,62,3,5,2,3,63,0
313,1,44,2,4,79,4,25,0
314,0,51,2,6,3,2,25,0
315,1,61,1,3,50,3,53,1
317,0,65,1,2,100,3,53,1
319,1,32,1,2,100,1,53,1
320,1,60,1,1,88,3,53,1
321,1,56,1,1,100,1,53,1
324,1,44,1,4,91,4,53,1
326,0,43,3,2,75,3,63,0
327,1,70,1,2,71,3,53,1
328,0,67,1,2,40,3,53,1
330,1,48,1,5,98,4,53,1
331,1,56,2,2,1,2,25,0
332,1,71,1,4,88,3,53,1
334,0,24,3,5,46,4,63,0
335,1,66,1,2,91,3,53,1
339,0,74,3,2,60,3,63,0
340,1,73,1,3,99,5,53,1
341,0,65,1,1,67,3,53,1
342,1,73,1,2,5,2,53,1
345,1,62,3,2,95,3,63,0
346,0,80,3,3,30,3,63,0
347,1,53,3,2,67,3,63,0
348,0,42,3,4,89,4,63,0
351,0,62,3,5,96,5,63,0
353,0,73,1,2,1,2,53,1
354,1,26,1,2,100,2,53,1
