"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
7,1,1,1,0,1,0,0,0,5,1,13,25
7,1,3,0,0,1,0,0,0,3,1,2,47
7,0,1,1,0,1,0,0,0,3,1,13,20
6,0,3,1,0,1,0,0,0,5,1,10,72
4,1,4,0,0,1,0,0,0,3,1,4,37
7,0,2,0,0,1,0,0,0,3,1,2,65
7,1,3,0,1,0,0,0,0,4,1,6,37
4,1,3,0,0,1,0,0,0,2,1,3,25
5,1,3,0,0,1,0,0,0,3,1,3,33
4,0,4,0,0,1,0,0,0,5,0,4,69
7,0,5,1,0,0,1,0,0,2,1,1,54
7,0,1,1,0,1,0,0,0,3,1,3,86
7,1,2,1,0,1,0,0,0,3,1,5,72
4,0,2,0,0,0,1,0,0,3,1,2,47
2,0,5,1,0,1,0,0,0,2,1,3,60
7,0,2,1,0,1,0,0,0,2,1,3,40
1,0,5,0,0,1,0,0,0,3,0,2,67
4,0,5,1,0,0,0,0,0,2,1,10,45
6,0,2,1,0,1,0,0,0,4,1,4,77
7,0,3,0,0,1,0,0,0,6,1,11,38
7,0,1,1,0,1,0,0,0,4,0,5,57
4,0,2,0,1,1,0,0,0,2,1,8,70
5,0,2,1,0,0,1,0,1,5,1,4,63
3,0,5,0,1,1,0,0,0,3,1,9,56
4,0,5,0,1,1,0,0,0,2,1,2,54
4,1,5,0,1,1,0,0,0,2,0,7,41
4,0,3,1,0,0,1,0,0,3,1,8,60
4,0,3,0,0,0,0,0,0,5,1,12,56
5,0,4,1,0,1,0,0,0,1,1,1,41
6,0,4,1,0,0,0,0,0,5,0,7,32
1,1,5,1,0,1,0,0,0,5,0,2,56
3,0,4,0,1,1,0,0,0,6,0,6,52
6,0,2,0,1,1,0,0,0,5,1,4,71
4,0,3,0,0,1,0,0,0,5,1,13,72
6,0,1,1,0,1,0,0,0,3,1,2,35
4,1,4,1,0,0,1,0,0,4,1,4,25
